40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	
37	39	39	37	39	40	39	39	37	40	39	37	39	38	39	39	39	39	35	38	
31	34	35	32	33	32	32	34	33	31	31	38	34	28	35	33	33	34	31	31	
25	25	27	26	19	21	24	24	33	27	21	19	19	23	23	24	22	21	23	21	
9	14	15	21	11	18	12	13	13	15	16	8	13	13	13	12	21	13	11	9	
2	4	1	3	7	8	5	4	1	5	3	1	3	5	4	3	0	4	8	2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
